date,price,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,daily_return,daily_rv,log_daily_rv,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d
2025-03-31,40.66699981689453,0,1,0,0,0,0,0,0,0,0,0,0.001969085598567423,3.877298094485626e-06,-12.460371756394578,-8.394226465814562,-8.194906659971537,-6.6523506027247965,-6.116210123454841
2025-04-01,42.45000076293945,0,0,1,0,0,0,0,0,0,0,0,0.042909982479708106,0.0018412665964088566,-6.297301576020944,-12.460371756394578,-8.200246449382206,-6.932856886516223,-6.251908104495539
2025-04-02,41.26300048828125,0,0,1,0,0,0,0,0,0,0,0,-0.028360704250591177,0.0008043295455895004,-7.125501488946946,-6.297301576020944,-7.636302964262764,-6.8585736739211285,-5.8624725455398545
2025-04-03,39.202999114990234,0,0,1,0,0,0,0,0,0,0,0,-0.05121297457413425,0.002622768764730921,-5.943524738395559,-7.125501488946946,-7.438409766795517,-6.841141142085727,-6.055693997939231
2025-04-04,36.4010009765625,0,0,1,0,0,0,0,0,0,0,0,-0.0741569782845843,0.005499257428300307,-5.203142208713257,-5.943524738395559,-6.812733946846877,-6.796793009537756,-6.684762747180847
2025-04-07,37.0,0,0,1,0,0,0,0,0,0,0,0,0.01632163902351725,0.0002663959004140011,-8.23052700449897,-5.203142208713257,-6.140289467775578,-6.667997615119149,-6.583891002016588
2025-04-08,36.23099899291992,0,0,1,0,0,0,0,0,0,0,0,-0.021002834478965355,0.0004411190561508159,-7.726195748089476,-8.23052700449897,-6.116210123454841,-6.930631363893204,-6.648733572325441
2025-04-09,33.66600036621094,0,0,1,0,0,0,0,0,0,0,0,-0.07342664129060121,0.0053914716512186225,-5.222936897521383,-7.726195748089476,-6.251908104495539,-7.003888732249799,-7.951365859897725
2025-04-10,33.292999267578125,0,0,1,0,0,0,0,0,0,0,0,-0.011141294195008576,0.0001241284363397318,-8.994193743416554,-5.222936897521383,-5.8624725455398545,-6.803794032719182,-7.9683172566675315
2025-04-11,33.4630012512207,0,0,1,0,0,0,0,0,0,0,0,0.005093245545723258,2.5941150189029807e-05,-10.559680001146667,-8.994193743416554,-6.055693997939231,-6.850599622790493,-7.983414219221502
2025-04-14,34.499000549316406,0,0,1,0,0,0,0,0,0,0,0,0.03048996580728322,0.0009296380149292999,-6.98071527777025,-10.559680001146667,-6.684762747180847,-6.854439622383557,-7.637297243297046
2025-04-15,34.40700149536133,0,0,1,0,0,0,0,0,0,0,0,-0.002670278521199373,7.13038738077871e-06,-11.851144853664117,-6.98071527777025,-6.583891002016588,-6.815897651304007,-7.637753039354144
2025-04-16,35.3120002746582,0,0,1,0,0,0,0,0,0,0,0,0.02596278178096574,0.0006740660378060466,-7.302182471427334,-11.851144853664117,-6.648733572325441,-6.81666947504073,-7.806751017763308
2025-04-17,35.65700149536133,0,0,1,0,0,0,0,0,0,0,0,0.009722665666638866,9.453022766523817e-05,-9.266590894559863,-7.302182471427334,-7.951365859897725,-6.814527924691124,-7.37361845970745
2025-04-21,35.65700149536133,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,-27.631021115928547,-9.266590894559863,-7.9683172566675315,-6.816602513156542,-7.373267908308691
2025-04-22,34.24399948120117,0,0,1,0,0,0,0,0,0,0,0,-0.04043417122888702,0.0016349222029669547,-6.416160057436551,-27.631021115928547,-7.983414219221502,-6.989409880472279,-7.93566477343301
2025-04-23,34.15999984741211,0,0,1,0,0,0,0,0,0,0,0,-0.0024559872766635187,6.031873503133087e-06,-12.018452732658556,-6.416160057436551,-7.637297243297046,-6.918018966237448,-7.829476479002008
2025-04-24,33.57400131225586,0,0,1,0,0,0,0,0,0,0,0,-0.01730336746781033,0.0002994065257260768,-8.113708286864055,-12.018452732658556,-7.637753039354144,-6.919314797078795,-7.976656219256538
2025-04-25,32.43199920654297,0,0,1,0,0,0,0,0,0,0,0,-0.03460643174130747,0.001197605117865773,-6.727431450597972,-8.113708286864055,-7.806751017763308,-6.906150509728487,-8.231384562518134
2025-04-28,32.39799880981445,0,0,1,0,0,0,0,0,0,0,0,-0.001048909482836541,1.1002111031844198e-06,-13.720007575670799,-6.727431450597972,-7.37361845970745,-6.888318616673981,-8.21720247882415
2025-04-29,31.856000900268555,0,0,1,0,0,0,0,0,0,0,0,-0.016870880179151084,0.0002846265980192729,-8.164332415610124,-13.720007575670799,-7.373267908308691,-6.900661756336668,-7.146637694889635
2025-04-30,32.31700134277344,0,0,1,0,0,0,0,0,0,0,0,0.014367673530166903,0.00020643004266945867,-8.485548974535712,-8.164332415610124,-7.93566477343301,-6.890818501022535,-7.190497512523616
2025-05-01,32.14899826049805,0,0,0,1,0,0,0,0,0,0,0,-0.005212157219255514,2.7166582878237373e-05,-10.513522873817056,-8.485548974535712,-7.829476479002008,-6.891701063529621,-7.06347160510325
2025-05-02,33.077999114990234,0,0,0,1,0,0,0,0,0,0,0,0.028487090187046572,0.0008115143073249251,-7.1166085392181495,-10.513522873817056,-7.976656219256538,-6.890659861275399,-7.157565471531571
2025-05-05,32.93000030517578,0,0,0,1,0,0,0,0,0,0,0,-0.004484276424681163,2.0108735052951277e-05,-10.814356207823224,-7.1166085392181495,-8.231384562518134,-6.937765661019835,-7.044473604287562
2025-05-06,34.74300003051758,0,0,0,1,0,0,0,0,0,0,0,0.05359400809304895,0.002872317703477796,-5.852636012577968,-10.814356207823224,-8.21720247882415,-6.975189660631491,-8.054827102948611
2025-05-07,34.53099822998047,0,0,0,1,0,0,0,0,0,0,0,-0.006120693700673045,3.746289137745869e-05,-10.192159651503571,-5.852636012577968,-7.146637694889635,-6.963128261360617,-7.856037050939589
2025-05-08,35.340999603271484,0,0,0,1,0,0,0,0,0,0,0,0.02318633176524399,0.0005376059807279625,-7.528384642091115,-10.192159651503571,-7.190497512523616,-7.267479433531733,-8.146771037606651
2025-05-09,34.61800003051758,0,0,0,1,0,0,0,0,0,0,0,-0.020669972927542545,0.00042724778082534173,-7.7581464277308125,-7.528384642091115,-7.06347160510325,-7.24996881724672,-8.481395220040937
2025-05-12,35.38999938964844,0,0,0,1,0,0,0,0,0,0,0,0.022055498225171045,0.0004864450019605231,-7.628386709058292,-7.7581464277308125,-7.157565471531571,-7.250857011619041,-9.108061751103167
2025-05-13,35.74399948120117,0,0,0,1,0,0,0,0,0,0,0,0.009953131261568342,9.906482191000902e-05,-9.219736145233751,-7.628386709058292,-7.044473604287562,-7.6280470323147,-7.481813697574633
2025-05-14,35.04800033569336,0,0,0,1,0,0,0,0,0,0,0,-0.019663848282798345,0.0003866669292889114,-7.857946880750538,-9.219736145233751,-8.054827102948611,-7.630390983900426,-7.591289102529896
2025-05-15,35.29399871826172,0,0,0,1,0,0,0,0,0,0,0,0.0069943814153012205,4.8921371382711105e-05,-9.92529619392655,-7.857946880750538,-7.856037050939589,-7.597174145943351,-7.589775416578728
2025-05-16,35.15599822998047,0,0,0,1,0,0,0,0,0,0,0,-0.003917691150184492,1.5348303948233884e-05,-11.084505516853714,-9.92529619392655,-8.146771037606651,-7.680302740374532,-7.593215010662643
2025-05-19,35.224998474121094,0,0,0,1,0,0,0,0,0,0,0,0.0019607641118588297,3.844595902353546e-06,-12.468841797341563,-11.084505516853714,-8.481395220040937,-7.679494246800488,-7.507548670489731
2025-05-20,36.979000091552734,0,0,0,1,0,0,0,0,0,0,0,0.04859417195834237,0.0023613935483169477,-6.04850334721476,-12.468841797341563,-9.108061751103167,-7.747677756118104,-9.297673992046889
2025-05-21,36.62099838256836,0,0,0,1,0,0,0,0,0,0,0,-0.009728384236026786,9.464145984377447e-05,-9.26541490261684,-6.04850334721476,-7.481813697574633,-7.5336490632459086,-7.739809954985462
2025-05-22,36.35599899291992,0,0,0,1,0,0,0,0,0,0,0,-0.00726257763298731,5.274503387516756e-05,-9.85004091562743,-9.26541490261684,-7.591289102529896,-7.525637080137837,-7.4727891466340415
2025-05-23,36.45000076293945,0,0,0,1,0,0,0,0,0,0,0,0.002582254829786077,6.668040005953522e-06,-11.91818444343154,-9.85004091562743,-7.589775416578728,-7.6688216765328505,-7.307695018227437
2025-05-27,37.00600051879883,0,0,0,1,0,0,0,0,0,0,0,0.015138596293050435,0.00022917709772396038,-8.381015496423185,-11.91818444343154,-7.593215010662643,-7.668759780671199,-7.215530240652859
2025-05-28,36.6870002746582,0,0,0,1,0,0,0,0,0,0,0,-0.008657599316971734,7.495402593322943e-05,-9.498635606597079,-8.381015496423185,-7.507548670489731,-7.675615996238652,-7.227650563424997
2025-05-29,35.15800094604492,0,0,0,1,0,0,0,0,0,0,0,-0.04257026107578748,0.0018122271280607066,-6.3131987320529035,-9.498635606597079,-9.297673992046889,-7.792123380041008,-7.708762165611571
2025-05-30,34.22800064086914,0,0,0,1,0,0,0,0,0,0,0,-0.026808174006738975,0.0007186781935755952,-7.238096874042543,-6.3131987320529035,-7.739809954985462,-7.6103489371205475,-8.084768029656237
2025-06-02,35.01499938964844,0,0,0,0,1,0,0,0,0,0,0,0.022732482396992593,0.0005167657559295781,-7.567920867502348,-7.238096874042543,-7.4727891466340415,-7.571288089730392,-8.218914931157958
2025-06-03,35.847999572753906,0,0,0,0,1,0,0,0,0,0,0,0.023511241889237824,0.0005527784951742514,-7.5005531860969334,-7.567920867502348,-7.307695018227437,-7.544267362949734,-8.077057323807152
